"","AGE","EDU","GENDER","SEXUAL_ORIENTATION","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9"
"98","25",2,"M","0",1,2,2,5,9,8,3,7,5,5
"99","28",4,"F","0",0,2,2,6,7,4,1,2,2,2
"100","26",4,"M","0",0,2,3,5,3,4,3,4,2,2
"101","21",2,"F","0",0,2,2,2,8,7,3,7,6,7
"102","24",2,"F","0",0,1,2,3,5,3,3,3,3,2
"103","24",4,"F","0",1,2,1,1,7,5,5,2,2,2
"104","27",2,"M","0",1,1,1,1,5,1,9,1,1,1
"105","31",3,"F","0",1,2,5,5,6,4,5,1,1,1
"106","22",3,"F","1",0,2,1,2,8,7,3,2,1,1
"107","24",3,"M","0",0,1,1,1,5,1,9,8,6,2
"108","23",2,"F","0",0,1,1,1,4,1,9,5,5,2
"109","24",3,"F","0",1,2,2,2,3,1,7,6,5,6
"110","24",3,"M","0",0,5,4,6,6,6,1,7,7,4
"111","26",2,"M","0",0,4,2,6,9,9,1,8,6,7
"112","27",2,"M","0",0,6,4,6,9,6,1,2,7,6
"113","38",4,"M","0",1,2,9,9,8,8,1,6,4,3
"114","28",3,"M","0",0,2,2,2,1,1,3,2,1,2
"115","26",4,"F","0",0,1,2,5,7,3,3,3,3,3
"116","29",2,"M","1",0,2,2,6,5,6,1,8,1,3
"117","28",4,"F","0",1,2,2,3,5,5,4,1,1,1
"118","25",4,"F","0",0,5,7,7,6,3,6,7,8,7
"119","25",3,"M","1",0,9,6,9,9,9,1,9,8,7
"120","25",3,"M","0",1,2,1,1,9,3,7,2,1,1
"121","26",4,"F","0",0,7,2,8,9,9,1,7,6,2
"122","26",4,"M","0",1,2,2,8,9,9,1,4,1,1
"123","25",2,"F","0",1,2,1,1,3,1,9,2,1,2
"124","25",4,"F","0",0,7,7,8,7,7,2,7,7,7
"125","25",3,"F","0",1,2,1,1,6,3,3,2,2,2
"126","27",4,"F","0",0,2,1,1,2,1,9,1,1,1
"127","22",2,"F","0",0,2,2,1,9,3,5,7,2,7
"128","26",4,"M","0",1,2,1,1,7,1,9,2,2,2
"129","22",3,"F","1",0,2,2,2,9,9,2,7,6,8
"130","26",3,"M","0",0,4,2,2,9,7,2,7,7,7
"131","24",3,"F","0",1,2,1,1,4,1,9,2,2,1
"132","23",3,"F","0",0,4,2,3,8,6,2,2,2,2
"133","25",4,"F","0",1,2,2,1,7,3,3,2,1,2
"134","22",2,"F","1",1,6,3,3,9,6,2,3,3,7
"135","22",3,"F","0",1,2,1,1,5,2,1,2,1,2
"136","26",3,"F","0",1,2,2,1,9,3,4,2,4,1
"137","23",3,"F","0",1,2,2,5,9,1,8,1,1,1
"138","23",3,"F","0",0,7,4,6,8,8,1,7,7,7
"139","24",3,"F","0",0,1,1,1,1,2,4,2,1,1
"140","26",4,"M","0",0,3,4,2,7,4,1,8,7,7
"141","34",2,"M","0",1,2,2,1,6,4,1,8,2,7
"142","23",3,"F","0",0,1,1,1,6,2,7,4,4,4
"143","26",3,"F","0",0,4,3,2,5,5,7,8,2,2
"144","22",3,"M","0",0,1,3,3,5,5,4,7,7,7
"145","23",3,"F","0",0,2,2,6,9,9,1,2,3,2
"146","25",3,"F","1",0,1,4,3,7,7,4,6,2,3
"147","24",3,"M","1",0,1,1,1,9,1,9,2,2,1
"148","26",2,"F","0",0,5,6,7,6,3,5,6,6,6
"149","36",4,"F","0",0,3,1,1,9,8,2,6,5,3
"150","19",2,"F","1",1,2,2,1,8,4,4,3,2,1
"151","27",3,"M","0",0,3,4,6,3,9,1,8,5,7
"152","47",4,"F","0",1,2,2,8,9,8,1,9,7,8
"153","37",1,"M","1",0,3,4,1,5,5,1,8,8,2
"154","45",2,"F","1",0,1,1,1,1,1,9,1,1,1
"155","22",3,"F","0",1,2,2,1,3,1,2,2,1,1
"156","26",4,"F","0",1,2,2,6,8,8,2,2,3,3
"157","35",4,"F","0",1,2,6,6,7,7,7,2,2,2
"158","34",2,"F","0",1,2,8,7,7,8,8,3,2,3
"159","24",4,"F","0",1,2,1,2,5,5,8,3,2,2
"160","25",2,"F","0",1,1,2,3,6,2,5,1,1,1
"161","33",1,"F","0",1,1,1,1,5,1,5,3,1,3
"162","23",3,"M","0",1,2,6,4,9,7,1,6,6,2
"163","24",3,"F","1",0,1,1,1,8,9,1,1,2,1
"164","30",4,"F","0",0,5,6,1,5,1,2,6,6,6
"165","24",2,"F","0",1,1,1,1,8,2,6,3,2,1
"166","28",4,"F","0",0,1,1,1,3,1,6,7,4,1
"167","37",3,"F","0",1,2,1,1,9,2,6,2,2,2
"168","38",4,"F","0",0,4,1,4,9,9,1,7,4,3
"169","24",3,"F","0",1,2,2,4,4,5,1,2,1,1
"170","19",2,"F","0",1,2,2,1,7,3,5,6,4,3
"171","26",4,"F","0",0,2,1,1,1,1,1,2,1,1
