"","AGE","EDU","GENDER","SEXUAL_ORIENTATION","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9"
"423","38",4,"F","0",1,2,2,2,9,1,2,2,1,2
"424","25",3,NA,"1",0,1,1,1,1,1,9,2,2,1
"425","29",3,"F","1",1,2,4,3,5,5,3,2,2,2
"426","23",3,"F","1",1,1,5,7,7,7,3,1,1,2
"427","24",3,"F","0",1,4,2,3,8,1,1,3,2,4
"428","28",3,"F","0",0,1,2,4,9,5,1,3,3,2
"429","25",2,"F","1",1,2,4,4,5,3,5,2,2,2
"430","22",3,"F","0",1,2,2,4,9,7,1,7,4,4
"431","23",3,"F","0",0,2,2,3,8,3,7,2,2,2
"432","20",2,"M","0",1,2,1,1,9,5,8,8,6,7
"433","51",2,"F","0",1,2,1,1,1,1,9,1,1,1
"434","21",2,"F","0",1,2,2,1,7,4,4,3,2,2
"435","34",2,"M","0",0,1,2,1,5,1,3,6,7,7
"436","22",3,"F","0",1,2,1,1,5,1,9,3,2,2
"437","23",3,"F","0",1,3,2,4,9,7,2,8,6,2
"438","27",4,"M","0",1,6,3,5,9,9,1,2,1,2
"439","43",2,"F","1",1,1,1,1,7,5,5,2,2,1
"440","30",2,"F","1",0,4,2,8,9,9,2,6,5,2
"441","27",2,"M","0",1,2,2,4,9,9,1,9,7,9
"442","34",2,"F","0",0,2,4,6,7,1,9,6,4,3
"443","25",3,"F","0",1,2,3,5,2,2,7,2,2,4
"444","32",4,"F","0",0,3,8,8,9,9,1,5,3,3
"445","24",2,"M","0",0,1,1,1,7,1,3,5,2,5
"446","27",4,"F","0",1,2,1,2,6,1,5,4,2,2
"447","22",2,"F","0",1,2,2,3,6,3,2,1,1,1
"448","33",4,"F","1",1,2,2,2,6,2,4,4,4,2
"449","43",4,"F","0",1,2,1,1,8,6,2,2,2,2
"450","19",2,"F","0",1,2,1,1,7,3,9,1,1,1
"451","23",3,"M","0",1,2,1,1,8,4,5,5,2,6
"452","25",2,"F","0",1,2,1,3,9,5,6,3,1,9
"453","24",3,"F","0",1,2,2,1,8,4,3,2,2,1
"454","21",2,"F","0",1,2,1,1,9,6,2,3,4,1
"455","23",2,"F","0",0,2,2,2,8,1,6,2,2,2
"456","30",4,"F","0",1,2,2,2,5,3,4,3,2,2
"457","24",3,"F","1",1,2,1,1,5,2,3,2,2,1
"458","29",3,"F","1",1,2,8,8,9,1,3,1,1,1
"459","27",3,"F","0",0,4,7,8,9,8,3,7,3,5
"460","24",2,"F","0",0,1,2,1,1,1,9,7,2,2
"461","45",3,"F","1",0,2,2,3,7,6,4,2,2,2
"462","32",4,"F","0",0,2,1,1,8,4,4,5,5,7
"463","20",2,"M","0",1,3,1,3,5,6,4,8,1,2
"464","24",2,"F","0",1,2,1,1,9,2,6,2,2,2
"465","24",2,"F","0",0,1,1,1,7,1,3,3,2,2
"466","25",2,"F","0",1,1,1,1,1,1,9,3,2,3
"467","24",3,"F","0",1,2,1,3,4,1,3,1,1,1
"468","20",2,"F","0",0,1,1,1,4,2,7,5,3,3
"469",NA,2,"F","0",1,2,2,4,4,3,4,2,2,1
"470","38",2,"F","0",1,1,4,4,1,1,4,2,1,2
"471","22",3,"F","1",1,2,1,1,5,3,3,4,4,4
"472","22",3,"F","0",1,1,1,1,8,5,4,5,2,6
"473","25",3,"F","0",0,5,3,4,7,7,2,8,7,4
"474","22",3,"F","1",1,2,1,1,7,3,1,4,4,4
"475","22",3,"F","1",0,2,2,1,6,2,7,4,3,4
"476","23",3,"F","0",1,2,1,1,9,4,1,6,7,3
"477","23",3,"M","1",0,9,9,9,9,9,1,8,8,7
"478","23",3,"F","0",1,2,1,1,9,3,1,7,7,7
"479","22",3,"F","1",0,3,1,3,8,5,2,6,7,5
"480","25",3,"M","0",1,2,2,1,5,4,7,1,1,1
"481","24",2,"M","0",0,2,2,1,9,8,1,4,4,8
"482","25",4,NA,"1",1,2,3,3,9,7,2,8,8,8
"483","48",2,"F","0",1,1,1,1,5,4,6,3,1,2
"484","23",3,"M","0",0,5,3,4,9,7,1,8,7,7
"485","34",4,"F","0",0,1,1,2,8,5,4,5,2,2
"486","33",3,"F","0",0,1,4,1,4,1,9,2,2,2
"487","41",3,"F","0",1,2,2,1,9,5,1,4,2,4
"488","31",4,"F","0",0,2,2,1,8,6,6,4,2,3
"489","29",4,"F","0",1,2,2,3,2,1,3,2,1,1
"490","25",2,"M","0",1,2,2,2,7,2,1,2,1,2
"491","18",1,"F","0",1,2,1,1,1,1,3,2,1,1
"492","34",3,"F","0",0,1,3,3,9,9,3,2,2,2
"493","21",2,"F","0",0,6,6,7,9,9,1,7,7,6
"494","40",3,"M","0",0,7,7,7,6,5,5,8,8,7
"495","25",4,NA,"1",0,1,1,1,3,1,9,1,1,1
"496","33",2,"F","0",1,2,5,7,9,1,4,5,4,4
"497","25",1,"F","0",1,1,1,1,1,1,1,2,2,2
"498","31",2,"M","0",0,4,3,3,8,9,6,7,7,5
"499","22",3,"F","1",1,3,1,3,7,6,4,6,3,3
"500","30",4,"M","0",0,3,3,3,5,4,2,2,3,1
"501","24",3,"F","0",1,2,3,3,8,3,6,3,2,3
"502","23",3,"F","0",1,2,3,3,9,3,2,4,4,4
"503","22",3,"F","0",1,2,2,1,9,4,3,4,2,2
"504","23",3,"F","1",1,2,2,1,9,3,7,3,2,2
"505","24",3,"F","0",1,2,1,2,9,5,7,3,2,2
"506","24",3,"F","1",1,3,4,7,9,8,1,7,5,4
"507","25",3,"M","1",1,3,2,2,6,6,4,6,2,6
"508","23",3,"F","0",1,2,1,1,7,2,6,2,6,3
"509","22",3,"F","0",0,3,7,2,9,9,1,7,7,8
"510","25",2,"F","0",1,2,1,1,6,2,4,4,4,3
"511","23",3,"F","0",1,2,2,4,5,3,5,2,2,2
"512","23",2,"M","0",0,5,2,5,7,9,1,7,2,2
"513","24",3,"F","0",0,7,6,5,5,5,1,6,5,1
"514","23",2,"M","0",0,1,2,3,9,9,5,9,3,8
"515","26",3,"F","0",0,4,2,2,4,2,4,2,3,1
"516","42",3,"F","0",1,3,2,1,1,2,8,2,1,2
"517","26",4,"F","0",1,2,1,1,9,4,5,4,3,3
"518","23",3,"F","0",0,1,1,1,7,4,6,8,1,3
"519","20",2,"F","0",1,2,2,3,2,1,1,2,2,2
"520","23",3,"M","0",0,2,2,3,8,6,1,8,5,7
"521","23",3,"F","0",1,2,1,1,9,1,9,7,2,2
"522","25",4,"F","0",1,4,3,3,8,7,2,6,4,2
